id,client_id,job_id,arrival_time,end_time,job_time,queue_time
1,8,0,1573770711.88318,1573770713.8414,1.9091203212738,0.049098014831543
2,0,0,1573770712.88792,1573770714.9168,2.02500033378601,0.00388336181640625
3,7,0,1573770712.94658,1573770715.01837,2.06811499595642,0.0036771297454834
4,2,0,1573770713.13149,1573770715.17262,2.03797793388367,0.00315189361572266
5,6,0,1573770713.72083,1573770715.86255,2.13797187805176,0.00375103950500488
6,9,0,1573770713.77668,1573770715.90123,2.12066316604614,0.00388669967651367
7,1,0,1573770714.05084,1573770716.07465,2.0207154750824,0.0030980110168457
8,6,1,1573770714.11726,1573770716.25755,2.13707304000854,0.00321173667907715
9,3,0,1573770714.1528,1573770716.28861,2.13216972351074,0.0036311149597168
10,1,1,1573770714.33536,1573770716.95639,2.02691555023193,0.594115257263184
11,9,1,1573770714.44103,1573770717.09674,2.06651377677917,0.58918833732605
12,8,1,1573770714.47096,1573770717.19248,2.00840091705322,0.713121175765991
13,3,1,1573770714.68362,1573770717.9309,2.05394792556763,1.19333267211914
14,3,1,1573770714.68362,1573770717.9309,2.05394792556763,1.19333267211914
15,4,0,1573770715.60218,1573770718.15093,2.06571269035339,0.483035326004028
16,9,2,1573770715.70463,1573770718.31137,2.04156422615051,0.565178155899048
17,9,3,1573770715.77258,1573770718.36116,2.06026291847229,0.528314828872681
18,1,2,1573770715.82568,1573770719.03129,2.0628399848938,1.14276480674744
19,9,4,1573770715.85373,1573770719.17816,2.07088041305542,1.25355410575867
20,0,2,1573770716.33366,1573770719.24842,2.04277467727661,0.871985912322998
21,0,3,1573770717.15648,1573770719.97061,2.02508330345154,0.789051055908203
22,5,0,1573770717.56265,1573770720.01424,2.0584568977356,0.393131494522095
23,4,1,1573770717.59991,1573770720.2023,2.03966164588928,0.562726020812988
24,6,2,1573770718.03535,1573770720.3317,2.00986480712891,0.286488056182861
25,8,2,1573770718.41688,1573770720.48065,2.06119012832642,0.00258278846740723
26,6,3,1573770718.42829,1573770721.03426,1.99101495742798,0.614952564239502
27,4,2,1573770718.77088,1573770721.20743,2.0180287361145,0.418519496917725
28,3,2,1573770718.87099,1573770721.23541,1.97680068016052,0.387624740600586
29,2,1,1573770718.90594,1573770721.89794,1.91704487800598,1.07495808601379
30,0,4,1573770720.35687,1573770722.28871,1.92914533615112,0.00269103050231934
31,9,5,1573770720.50947,1573770722.41983,1.9077525138855,0.00261187553405762
32,9,6,1573770720.68322,1573770722.61092,1.9246392250061,0.00305914878845215
33,1,3,1573770720.73724,1573770722.67645,1.93634700775146,0.00286173820495605
34,9,7,1573770721.61215,1573770723.47899,1.86360573768616,0.00323915481567383
35,9,8,1573770722.10122,1573770723.93527,1.83104276657105,0.00301122665405273
36,0,5,1573770722.94323,1573770724.76668,1.82043719291687,0.00301694869995117
37,7,1,1573770723.54448,1573770725.38442,1.83713269233704,0.00280451774597168
38,1,4,1573770723.63348,1573770725.48557,1.84877228736877,0.00331640243530273
39,0,6,1573770724.19751,1573770726.01923,1.81838083267212,0.00333476066589355
40,8,3,1573770724.4374,1573770726.27962,1.83935928344727,0.00285959243774414
