client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
4,0,1574312341.6941912,1574312343.5359242,1.8380792140960693,0.0036530494689941406,1.8417322635650635
4,1,1574312342.5831914,1574312344.4936094,1.9074656963348389,0.0029516220092773438,1.9104173183441162
10,0,1574312342.620166,1574312344.5203352,1.8969764709472656,0.003191709518432617,1.9001681804656982
15,0,1574312343.5182123,1574312345.5684037,2.0470807552337646,0.0031099319458007812,2.0501906871795654
13,0,1574312343.8268497,1574312346.1199315,2.289931535720825,0.0031495094299316406,2.293081045150757
11,0,1574312344.2062776,1574312346.2746923,2.0650386810302734,0.0033750534057617188,2.068413734436035
12,0,1574312344.4527674,1574312346.5266101,2.0705318450927734,0.0033104419708251953,2.0738422870635986
13,1,1574312344.4628184,1574312346.5662067,2.100222110748291,0.0031647682189941406,2.103386878967285
13,2,1574312344.598572,1574312346.6560235,2.0519204139709473,0.005530357360839844,2.057450771331787
17,0,1574312344.883867,1574312347.158886,2.2717370986938477,0.0032806396484375,2.275017738342285
10,1,1574312345.4645126,1574312347.603677,2.1361498832702637,0.0030133724212646484,2.1391632556915283
3,0,1574312345.776813,1574312347.9149458,2.135329008102417,0.002802610397338867,2.138131618499756
15,1,1574312345.9248314,1574312348.0991886,2.1712520122528076,0.003103494644165039,2.1743555068969727
0,0,1574312346.6247895,1574312348.9787436,2.3501060009002686,0.003846883773803711,2.3539528846740723
14,0,1574312346.886576,1574312349.5652819,2.674921751022339,0.0037834644317626953,2.6787052154541016
17,1,1574312347.1735353,1574312350.0040207,2.8266499042510986,0.003834247589111328,2.83048415184021
0,1,1574312347.0813668,1574312349.9581153,2.8736889362335205,0.003058195114135742,2.8767471313476562
0,2,1574312347.4307568,1574312350.3344736,2.9006569385528564,0.003058910369873047,2.9037158489227295
15,2,1574312347.8771436,1574312350.9815986,3.1001741886138916,0.00428009033203125,3.104454278945923
8,0,1574312347.9331048,1574312351.1239307,3.1872341632843018,0.0035905838012695312,3.1908247470855713
13,3,1574312347.9395597,1574312351.090362,3.136162519454956,0.014639139175415039,3.150801658630371
11,1,1574312348.1393816,1574312351.5141194,3.3711307048797607,0.003606081008911133,3.374736785888672
14,1,1574312348.6054935,1574312352.2337074,3.62492299079895,0.003289461135864258,3.6282124519348145
15,3,1574312348.7028124,1574312352.2138302,3.5074691772460938,0.0035474300384521484,3.511016607284546
5,0,1574312348.7569845,1574312352.2993424,3.5163607597351074,0.025995731353759766,3.542356491088867
8,1,1574312349.036079,1574312352.7075968,3.66804838180542,0.0034682750701904297,3.6715166568756104
13,4,1574312348.91439,1574312352.7313063,3.8103480339050293,0.006566762924194336,3.8169147968292236
0,3,1574312349.4119267,1574312353.1577523,3.716481924057007,0.029342174530029297,3.745824098587036
9,0,1574312349.7610154,1574312353.3572817,3.5370450019836426,0.059220075607299805,3.5962650775909424
6,0,1574312349.7043042,1574312353.2589781,3.520988702774048,0.03368377685546875,3.5546724796295166
11,2,1574312350.071683,1574312353.970104,3.862342596054077,0.03607749938964844,3.8984200954437256
16,0,1574312350.3946948,1574312353.9244807,3.518324375152588,0.01146078109741211,3.52978515625
15,4,1574312350.6976852,1574312354.2732637,3.560004234313965,0.015573263168334961,3.5755774974823
12,1,1574312350.8250835,1574312354.745862,3.8379266262054443,0.08285045623779297,3.9207770824432373
1,0,1574312350.791134,1574312354.7512958,3.8436193466186523,0.11654090881347656,3.960160255432129
4,2,1574312351.1077216,1574312354.967329,3.739516496658325,0.12009000778198242,3.8596065044403076
2,0,1574312351.3132505,1574312355.1575503,3.693516492843628,0.15078163146972656,3.8442981243133545
