client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
2,0,1574378825.0715213,1574378826.8656542,1.791123390197754,0.0030090808868408203,1.7941324710845947
1,0,1574378825.9188366,1574378827.7744322,1.8525116443634033,0.003083467483520508,1.8555951118469238
4,0,1574378825.9948845,1574378827.8166661,1.8187172412872314,0.0030639171600341797,1.8217811584472656
7,0,1574378826.1358273,1574378827.970564,1.8316082954406738,0.0031273365020751953,1.834735631942749
1,1,1574378826.807166,1574378828.6460648,1.8358638286590576,0.0030341148376464844,1.838897943496704
7,1,1574378827.1079543,1574378828.9205875,1.8093059062957764,0.003326892852783203,1.8126327991485596
8,0,1574378828.784527,1574378830.6194558,1.8318202495574951,0.003107786178588867,1.834928035736084
2,1,1574378829.0792952,1574378830.899821,1.8175163269042969,0.0030090808868408203,1.8205254077911377
4,1,1574378829.209904,1574378831.0556774,1.842468023300171,0.003304719924926758,1.8457727432250977
8,1,1574378830.091756,1574378831.9439247,1.848865032196045,0.003303050994873047,1.852168083190918
3,0,1574378830.1644585,1574378832.0177097,1.8497109413146973,0.0035393238067626953,1.85325026512146
9,0,1574378830.6162477,1574378832.492859,1.8734204769134521,0.0031898021697998047,1.876610279083252
4,2,1574378831.1788616,1574378833.023898,1.841900110244751,0.00313568115234375,1.8450357913970947
8,2,1574378831.404144,1574378833.2394657,1.8322620391845703,0.003058910369873047,1.8353209495544434
1,2,1574378832.8151286,1574378834.603431,1.7853491306304932,0.0029528141021728516,1.788301944732666
5,0,1574378832.8384962,1574378834.6591017,1.8172929286956787,0.0033121109008789062,1.8206050395965576
2,2,1574378833.420566,1574378835.228823,1.8050765991210938,0.0031795501708984375,1.8082561492919922
9,1,1574378834.7391849,1574378836.5272956,1.785238265991211,0.002871274948120117,1.788109540939331
2,3,1574378835.7088497,1574378837.5184343,1.8066682815551758,0.0029158592224121094,1.809584140777588
1,3,1574378836.9333572,1574378838.753507,1.8174817562103271,0.0026674270629882812,1.8201491832733154
8,3,1574378836.9766195,1574378838.7830591,1.8034284114837646,0.003010272979736328,1.806438684463501
4,3,1574378837.221888,1574378839.0676274,1.8423974514007568,0.0033414363861083984,1.8457388877868652
5,1,1574378838.568728,1574378840.3771,1.8051717281341553,0.0031998157501220703,1.8083715438842773
7,2,1574378838.710013,1574378840.5200286,1.8067762851715088,0.003238677978515625,1.8100149631500244
8,4,1574378838.7646215,1574378840.6086254,1.8409371376037598,0.0030663013458251953,1.844003438949585
2,4,1574378839.7311883,1574378841.5725687,1.8381516933441162,0.0032281875610351562,1.8413798809051514
5,2,1574378840.4480958,1574378842.2480373,1.7966644763946533,0.0032765865325927734,1.799941062927246
9,2,1574378840.792881,1574378842.5918736,1.7959702014923096,0.003021717071533203,1.7989919185638428
2,5,1574378842.28,1574378844.1177514,1.8350555896759033,0.002694845199584961,1.8377504348754883
3,1,1574378842.8174376,1574378844.6836207,1.8633315563201904,0.0028505325317382812,1.8661820888519287
9,3,1574378842.8102117,1574378844.7114496,1.898230791091919,0.0030062198638916016,1.9012370109558105
6,0,1574378843.4060109,1574378845.278521,1.8692612648010254,0.003248453140258789,1.8725097179412842
3,2,1574378843.4495754,1574378845.3374097,1.8844025135040283,0.003431081771850586,1.887833595275879
1,4,1574378843.7717552,1574378845.6010413,1.8261280059814453,0.003157377243041992,1.8292853832244873
7,3,1574378844.5865777,1574378846.3758152,1.7856848239898682,0.0035521984100341797,1.7892370223999023
3,3,1574378845.7421203,1574378847.5356343,1.790701150894165,0.0028123855590820312,1.793513536453247
8,5,1574378847.341008,1574378849.1233358,1.7791616916656494,0.003165721893310547,1.78232741355896
4,4,1574378848.5878162,1574378850.4664857,1.8759052753448486,0.0027637481689453125,1.878669023513794
6,1,1574378848.6509628,1574378850.538235,1.8841376304626465,0.0031337738037109375,1.8872714042663574
6,2,1574378848.958484,1574378850.844636,1.882986068725586,0.0031652450561523438,1.8861513137817383
5,3,1574378849.370844,1574378851.2978067,1.9229722023010254,0.0039899349212646484,1.92696213722229
6,3,1574378849.6298134,1574378851.5552652,1.922145128250122,0.003306150436401367,1.9254512786865234
5,4,1574378850.044105,1574378852.0237155,1.976353645324707,0.003256082534790039,1.979609727859497
4,5,1574378850.1523695,1574378852.117775,1.9626836776733398,0.0027208328247070312,1.9654045104980469
3,4,1574378850.642006,1574378852.5920987,1.946821928024292,0.0032701492309570312,1.950092077255249
5,5,1574378851.056985,1574378853.0190382,1.9589877128601074,0.003064870834350586,1.962052583694458
8,6,1574378851.1878188,1574378853.132466,1.9419562816619873,0.0026903152465820312,1.9446465969085693
3,5,1574378851.3969738,1574378853.3599575,1.9593582153320312,0.0036249160766601562,1.9629831314086914
5,6,1574378851.689149,1574378853.6501062,1.9580812454223633,0.0028753280639648438,1.9609565734863281
6,4,1574378851.7223186,1574378853.6802437,1.9543943405151367,0.003529787063598633,1.9579241275787354
4,6,1574378852.6613338,1574378854.523642,1.859100103378296,0.0032074451446533203,1.8623075485229492
1,5,1574378852.7419384,1574378854.5987558,1.8540704250335693,0.0027463436126708984,1.8568167686462402
3,6,1574378854.3999083,1574378856.1706953,1.766923189163208,0.003863096237182617,1.7707862854003906
7,4,1574378855.0605774,1574378856.852237,1.788581371307373,0.0030775070190429688,1.791658878326416
7,5,1574378855.929556,1574378857.7170043,1.7846121788024902,0.0028357505798339844,1.7874479293823242
8,7,1574378856.2305567,1574378858.0132873,1.7796034812927246,0.003126382827758789,1.7827298641204834
7,6,1574378858.5771062,1574378860.352133,1.7721562385559082,0.002869844436645508,1.7750260829925537
1,6,1574378859.4226923,1574378861.211156,1.7851791381835938,0.003283977508544922,1.7884631156921387
7,7,1574378860.108577,1574378861.905239,1.7938504219055176,0.002810955047607422,1.796661376953125
8,8,1574378860.3962648,1574378862.2250173,1.8257756233215332,0.0029764175415039062,1.828752040863037
1,7,1574378861.295475,1574378863.0931842,1.7950530052185059,0.0026552677154541016,1.79770827293396
1,8,1574378861.537086,1574378863.385163,1.8447134494781494,0.0033631324768066406,1.848076581954956
1,9,1574378861.9424162,1574378863.757952,1.8122467994689941,0.00328826904296875,1.815535068511963
2,6,1574378863.5616446,1574378865.3743086,1.809478998184204,0.0031843185424804688,1.8126633167266846
8,9,1574378863.6846638,1574378865.4864967,1.7990174293518066,0.002814769744873047,1.8018321990966797
1,10,1574378864.201123,1574378866.014989,1.8108108043670654,0.0030546188354492188,1.8138654232025146
