id,client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
1,1,0,1573775368.93311,1573775370.87429,1.89217066764832,0.0490033626556397,1.94117403030396
2,6,0,1573775369.13802,1573775371.03239,1.89130783081055,0.00305795669555664,1.8943657875061
3,8,0,1573775370.71908,1573775372.64168,1.91863059997559,0.00396370887756348,1.92259430885315
4,5,1,1573775371.10567,1573775372.91931,1.81078433990479,0.00285840034484863,1.81364274024963
5,5,0,1573775371.0823,1573775373.00525,1.91987061500549,0.00306868553161621,1.92293930053711
6,2,0,1573775372.48575,1573775374.33976,1.85076403617859,0.00324201583862305,1.85400605201721
7,9,0,1573775372.77447,1573775374.63809,1.86072254180908,0.0028984546661377,1.86362099647522
8,4,0,1573775373.1834,1573775375.06698,1.88105940818787,0.00252723693847656,1.88358664512634
9,5,2,1573775373.7959,1573775375.68611,1.8866240978241,0.00358271598815918,1.89020681381226
10,2,1,1573775373.94262,1573775375.96249,2.01580190658569,0.0040736198425293,2.01987552642822
11,2,1,1573775373.94262,1573775375.96249,2.01580190658569,0.0040736198425293,2.01987552642822
12,1,1,1573775374.07723,1573775376.07557,1.99497127532959,0.00337386131286621,1.99834513664246
13,4,1,1573775375.76168,1573775377.59086,1.82636213302612,0.00281715393066406,1.82917928695679
14,0,0,1573775376.24543,1573775378.06634,1.81784343719482,0.00307011604309082,1.82091355323792
15,2,2,1573775376.4153,1573775378.26256,1.84433507919312,0.00291943550109863,1.84725451469421
16,4,2,1573775377.46572,1573775379.30049,1.83169174194336,0.00307512283325195,1.83476686477661
17,3,1,1573775377.41013,1573775379.37534,1.96113872528076,0.00406408309936523,1.96520280838013
18,0,1,1573775377.84803,1573775379.67411,1.82288432121277,0.00320243835449219,1.82608675956726
19,5,3,1573775378.5193,1573775380.37013,1.84784436225891,0.00298714637756348,1.85083150863647
20,7,0,1573775379.34325,1573775381.17045,1.82427859306335,0.00292468070983887,1.82720327377319
21,9,1,1573775379.59893,1573775381.44286,1.84082365036011,0.0031125545501709,1.84393620491028
22,3,2,1573775379.76756,1573775381.59381,1.82359433174133,0.00265002250671387,1.82624435424805
23,9,2,1573775380.26889,1573775382.07817,1.80627584457397,0.00300073623657227,1.80927658081055
24,5,4,1573775381.19553,1573775383.02225,1.8238320350647,0.00289320945739746,1.82672524452209
25,7,1,1573775382.21639,1573775384.14431,1.92537045478821,0.00255060195922852,1.92792105674744
26,4,3,1573775382.45818,1573775384.39086,1.92928910255432,0.00338625907897949,1.9326753616333
27,0,2,1573775382.44248,1573775384.403,1.95774149894714,0.00278115272521973,1.96052265167236
28,0,3,1573775382.61895,1573775384.57914,1.95698022842407,0.00320863723754883,1.96018886566162
29,1,2,1573775382.6403,1573775384.6222,1.97888493537903,0.00301599502563477,1.98190093040466
30,3,3,1573775383.14641,1573775385.13533,1.9862220287323,0.00270581245422363,1.98892784118652
31,8,1,1573775383.201,1573775385.15311,1.94935321807861,0.00275540351867676,1.95210862159729
32,3,4,1573775383.84802,1573775385.79074,1.93968820571899,0.00303316116333008,1.94272136688232
33,6,1,1573775384.054,1573775386.10985,1.9549298286438,0.100924015045166,2.05585384368896
34,8,2,1573775384.34618,1573775386.33203,1.92793011665344,0.0579187870025635,1.98584890365601
35,7,2,1573775384.66706,1573775386.61246,1.94273090362549,0.0026710033416748,1.94540190696716
36,1,3,1573775385.11015,1573775387.05879,1.94586682319641,0.00276899337768555,1.9486358165741
37,1,4,1573775385.1613,1573775387.074,1.91007280349731,0.0026249885559082,1.91269779205322
38,2,3,1573775385.70979,1573775387.60273,1.8901104927063,0.00283050537109375,1.89294099807739
39,3,5,1573775386.03043,1573775387.90706,1.87389302253723,0.00273346900939941,1.87662649154663
40,5,5,1573775386.41543,1573775388.2784,1.8602557182312,0.00270509719848633,1.86296081542969
41,0,4,1573775387.26611,1573775389.1338,1.86489224433899,0.00279927253723145,1.86769151687622
42,8,3,1573775387.36442,1573775389.19422,1.82653856277466,0.00326848030090332,1.82980704307556
43,7,3,1573775388.35148,1573775390.16599,1.8117368221283,0.00277471542358398,1.81451153755188
44,8,4,1573775389.2214,1573775391.07468,1.85018181800842,0.00310683250427246,1.8532886505127
45,3,6,1573775389.50158,1573775391.35578,1.85120892524719,0.00299239158630371,1.8542013168335
46,4,4,1573775389.81993,1573775391.6836,1.86062526702881,0.00304555892944336,1.86367082595825
47,2,4,1573775390.50598,1573775392.40009,1.89103651046753,0.00307703018188477,1.89411354064941
48,5,6,1573775390.70639,1573775392.64603,1.93656730651855,0.00307345390319824,1.93964076042175
49,4,5,1573775391.00709,1573775392.90498,1.89497685432434,0.00291156768798828,1.89788842201233
50,4,6,1573775391.15062,1573775393.05792,1.90415787696838,0.00314021110534668,1.90729808807373
51,9,3,1573775391.7588,1573775393.65263,1.89140725135803,0.00242972373962402,1.89383697509766
52,1,5,1573775391.752,1573775393.69442,1.93929481506348,0.00311756134033203,1.94241237640381
53,3,7,1573775393.02327,1573775394.93891,1.91275072097778,0.00289249420166016,1.91564321517944
54,0,5,1573775393.21993,1573775395.10068,1.87785363197327,0.00289106369018555,1.88074469566345
55,3,8,1573775393.31408,1573775395.20378,1.88688254356384,0.00282406806945801,1.8897066116333
56,9,4,1573775393.65927,1573775395.57571,1.91295576095581,0.00348639488220215,1.91644215583801
57,2,5,1573775393.6999,1573775395.59265,1.8892924785614,0.00345587730407715,1.89274835586548
58,2,6,1573775394.83733,1573775396.73989,1.89985942840576,0.00269556045532227,1.90255498886108
59,1,6,1573775394.84713,1573775396.77954,1.92973709106445,0.00267243385314941,1.9324095249176
