client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
5,0,1574412946.1495557,1574412948.1640568,2.0118179321289062,0.0026826858520507812,2.014500617980957
8,0,1574412946.3739867,1574412948.4741917,2.0976476669311523,0.0025565624237060547,2.1002042293548584
8,1,1574412946.4344711,1574412948.6097395,2.1711103916168213,0.004157543182373047,2.1752679347991943
4,0,1574412946.569814,1574412948.6294823,2.0560760498046875,0.003591775894165039,2.0596678256988525
3,0,1574412946.6460106,1574412948.661651,2.0133209228515625,0.0023186206817626953,2.015639543533325
9,0,1574412946.9527323,1574412949.0202713,2.0646440982818604,0.002893686294555664,2.067537784576416
6,0,1574412947.1980865,1574412949.4521394,2.251491069793701,0.002560853958129883,2.254051923751831
5,1,1574412947.705429,1574412949.8617063,2.153362274169922,0.0029141902923583984,2.1562764644622803
0,0,1574412948.0626583,1574412950.3415842,2.1695010662078857,0.10942387580871582,2.2789249420166016
2,0,1574412948.0734832,1574412950.6849806,2.2039246559143066,0.40757203102111816,2.611496686935425
9,1,1574412948.2843022,1574412950.803584,2.1865549087524414,0.33272576332092285,2.5192806720733643
6,1,1574412948.3374918,1574412950.8466616,2.2098536491394043,0.2993156909942627,2.509169340133667
1,0,1574412948.447475,1574412950.8782196,2.210564613342285,0.22017955780029297,2.430744171142578
9,2,1574412948.481798,1574412951.413137,2.3866944313049316,0.5446441173553467,2.9313385486602783
8,2,1574412948.6497886,1574412951.753662,2.2945215702056885,0.8093514442443848,3.1038730144500732
8,3,1574412949.095673,1574412952.2264478,2.3582913875579834,0.7724828720092773,3.1307742595672607
3,1,1574412949.1204321,1574412952.6440918,2.2924461364746094,1.231212854385376,3.5236589908599854
2,1,1574412949.6570466,1574412953.087875,2.3960494995117188,1.034778356552124,3.4308278560638428
1,1,1574412949.902608,1574412953.1540074,2.2661311626434326,0.9852678775787354,3.251399040222168
0,1,1574412949.6999254,1574412953.1787932,2.324955940246582,1.1539113521575928,3.478867292404175
5,2,1574412949.6657395,1574412953.2863185,2.47562313079834,1.1449549198150635,3.6205780506134033
6,2,1574412950.2901123,1574412953.7594163,2.339806318283081,1.1294970512390137,3.4693033695220947
3,2,1574412950.3983085,1574412954.2039328,2.4435818195343018,1.36204195022583,3.805623769760132
8,4,1574412950.4322197,1574412954.6450968,2.4113810062408447,1.8014953136444092,4.212876319885254
2,2,1574412950.50613,1574412955.0186985,2.3675642013549805,2.1450037956237793,4.51256799697876
7,0,1574412951.207586,1574412955.4530258,2.357001543045044,1.8884377479553223,4.245439291000366
4,1,1574412951.5824041,1574412955.537458,2.348539113998413,1.6065139770507812,3.9550530910491943
0,2,1574412951.4138677,1574412955.5718346,2.410719156265259,1.7472472190856934,4.157966375350952
5,3,1574412951.5875313,1574412955.685622,2.3909542560577393,1.7071356773376465,4.098089933395386
6,3,1574412952.1103187,1574412956.121497,2.352485418319702,1.6586923599243164,4.0111777782440186
4,2,1574412952.2019355,1574412956.7244515,2.513655185699463,2.008859872817993,4.522515058517456
6,4,1574412952.2706013,1574412957.0962594,2.4445340633392334,2.3811233043670654,4.825657367706299
6,5,1574412952.4031932,1574412957.4401183,2.414536952972412,2.622387409210205,5.036924362182617
3,3,1574412952.896672,1574412957.7980034,2.337010622024536,2.5643203258514404,4.901330947875977
8,5,1574412952.9760602,1574412957.9109597,2.3661069869995117,2.5687921047210693,4.934899091720581
3,4,1574412952.9823387,1574412957.9229734,2.344567060470581,2.596067190170288,4.940634250640869
2,3,1574412952.9997082,1574412958.017902,2.325169324874878,2.693023681640625,5.018193006515503
1,2,1574412953.2689798,1574412958.6945193,2.5653233528137207,2.860215663909912,5.425539016723633
6,6,1574412953.2815385,1574412959.0036314,2.272224187850952,3.4498682022094727,5.722092390060425
9,3,1574412953.536507,1574412959.6503341,2.2018094062805176,3.9120168685913086,6.113826274871826
4,3,1574412953.336136,1574412959.6901548,2.5837149620056152,3.770303249359131,6.354018211364746
7,1,1574412953.7198853,1574412959.9835763,2.1793973445892334,4.0842931270599365,6.26369047164917
7,2,1574412954.066447,1574412960.0643628,2.133953332901001,3.863961935043335,5.997915267944336
5,4,1574412954.0238528,1574412960.0858917,2.1668457984924316,3.8951926231384277,6.062038421630859
0,3,1574412954.5297284,1574412960.1758509,2.1520204544067383,3.494101047515869,5.646121501922607
4,4,1574412954.8014677,1574412960.8909974,2.190598726272583,3.898930311203003,6.089529037475586
5,5,1574412954.851418,1574412961.3882084,2.376831531524658,4.159958362579346,6.536789894104004
4,5,1574412954.9075992,1574412961.8000748,2.1419525146484375,4.7505223751068115,6.892474889755249
1,3,1574412954.9979925,1574412962.0267105,2.329153537750244,4.699563980102539,7.028717517852783
7,3,1574412955.1337242,1574412962.1726785,2.101799726486206,4.937154054641724,7.03895378112793
5,6,1574412955.021621,1574412962.2701154,2.278637170791626,4.9698567390441895,7.248493909835815
6,7,1574412955.2620685,1574412962.2728918,2.0901384353637695,4.920684576034546,7.010823011398315
4,6,1574412955.1947641,1574412962.5101974,2.4176788330078125,4.897753715515137,7.315432548522949
5,7,1574412955.602275,1574412963.0706813,2.171043634414673,5.297362327575684,7.4684059619903564
3,5,1574412955.9153965,1574412963.831263,2.4352822303771973,5.480583429336548,7.915865659713745
6,8,1574412956.1887355,1574412964.1438117,2.335820198059082,5.619255304336548,7.95507550239563
8,6,1574412956.526147,1574412964.3892748,2.3558363914489746,5.507290840148926,7.8631272315979
3,6,1574412956.7171357,1574412964.6201732,2.440294027328491,5.462742805480957,7.903036832809448
