client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
2,0,1574361701.871219,1574361704.4290519,2.5541787147521973,0.003653287887573242,2.5578320026397705
15,0,1574361701.8949244,1574361704.6151443,2.717158794403076,0.0030603408813476562,2.720219135284424
7,0,1574361702.0483396,1574361704.6390934,2.5879886150360107,0.0027642250061035156,2.5907528400421143
8,0,1574361702.221176,1574361704.8756542,2.6513900756835938,0.003087282180786133,2.65447735786438
6,0,1574361702.2888587,1574361705.181641,2.8896162509918213,0.0031652450561523438,2.8927814960479736
0,0,1574361702.393767,1574361705.3469803,2.949808359146118,0.0034036636352539062,2.953212022781372
11,0,1574361702.6900938,1574361705.4714313,2.7784624099731445,0.002874135971069336,2.781336545944214
17,0,1574361702.7109313,1574361705.704458,2.9890365600585938,0.004489421844482422,2.993525981903076
5,0,1574361702.9012768,1574361705.9109435,3.005650043487549,0.004015684127807617,3.0096657276153564
15,1,1574361702.8004744,1574361705.9164188,3.112833023071289,0.0031099319458007812,3.11594295501709
12,0,1574361703.5167413,1574361706.2070122,2.6866700649261475,0.003599405288696289,2.6902694702148438
2,1,1574361703.9772885,1574361706.819136,2.8385379314422607,0.0033080577850341797,2.841845989227295
6,1,1574361704.4397824,1574361707.0123708,2.569175958633423,0.0034110546112060547,2.572587013244629
8,1,1574361704.3111455,1574361707.1756372,2.861433506011963,0.0030565261840820312,2.864490032196045
3,0,1574361704.8222563,1574361707.3028913,2.477609395980835,0.0030241012573242188,2.480633497238159
10,0,1574361705.1235316,1574361707.5044813,2.3780713081359863,0.0028772354125976562,2.380948543548584
4,0,1574361705.5790982,1574361708.1504734,2.5685951709747314,0.002778768539428711,2.57137393951416
6,2,1574361705.4946096,1574361708.3092296,2.811927318572998,0.002691984176635742,2.814619302749634
1,0,1574361705.989754,1574361708.4831254,2.490314245223999,0.0030562877655029297,2.493370532989502
7,1,1574361705.8490963,1574361708.522282,2.6698567867279053,0.0033278465270996094,2.673184633255005
13,0,1574361705.8559818,1574361708.6078403,2.7491064071655273,0.0027506351470947266,2.751857042312622
18,0,1574361707.054873,1574361709.8212545,2.7639431953430176,0.0024366378784179688,2.7663798332214355
2,2,1574361706.9982865,1574361709.864941,2.863640308380127,0.003013134002685547,2.8666534423828125
17,1,1574361707.699366,1574361710.8688588,3.1667287349700928,0.002763032913208008,3.169491767883301
1,1,1574361707.7506547,1574361711.17837,3.4246678352355957,0.0030465126037597656,3.4277143478393555
17,2,1574361707.73208,1574361711.172271,3.437049627304077,0.003140687942504883,3.440190315246582
0,1,1574361708.0613546,1574361711.2780147,3.213087797164917,0.0035712718963623047,3.2166590690612793
10,1,1574361708.150095,1574361711.910756,3.757842779159546,0.002817392349243164,3.760660171508789
0,2,1574361708.3819785,1574361711.8632703,3.4786489009857178,0.0026416778564453125,3.481290578842163
11,1,1574361708.7388296,1574361712.3142135,3.572610378265381,0.0027723312377929688,3.575382709503174
19,0,1574361708.7883205,1574361712.3043008,3.5131676197052,0.002811908721923828,3.515979528427124
8,3,1574361708.5670536,1574361712.1403909,3.570441961288452,0.002894878387451172,3.5733368396759033
8,2,1574361708.4425895,1574361712.2337534,3.788322925567627,0.002839803695678711,3.7911627292633057
0,3,1574361708.900832,1574361712.3450618,3.441013813018799,0.0032150745391845703,3.4442288875579834
1,2,1574361708.8307352,1574361712.6407738,3.8075788021087646,0.002458810806274414,3.810037612915039
7,2,1574361709.1043727,1574361712.8172271,3.709533214569092,0.003319978713989258,3.712853193283081
13,1,1574361709.135353,1574361712.8366408,3.696695566177368,0.004590749740600586,3.7012863159179688
11,2,1574361709.4582822,1574361713.0267882,3.477959394454956,0.0905451774597168,3.568504571914673
8,4,1574361709.617015,1574361713.1804385,3.4736130237579346,0.08980941772460938,3.563422441482544
9,0,1574361710.05697,1574361713.696047,3.5712366104125977,0.06783938407897949,3.639075994491577
5,1,1574361710.8860908,1574361713.927893,3.0055596828460693,0.03624105453491211,3.0418007373809814
9,1,1574361711.1663985,1574361714.283473,3.0745015144348145,0.0425715446472168,3.1170730590820312
12,1,1574361711.3622084,1574361714.4651566,3.064258337020874,0.03868865966796875,3.1029469966888428
5,2,1574361711.397915,1574361714.6156912,3.1717708110809326,0.046004533767700195,3.217775344848633
0,4,1574361711.8091466,1574361714.7280936,2.8490381240844727,0.06990742683410645,2.918945550918579
15,2,1574361712.115655,1574361714.8025756,2.6331634521484375,0.053755760192871094,2.6869192123413086
3,1,1574361712.149235,1574361715.036046,2.799381732940674,0.08742809295654297,2.886809825897217
14,0,1574361712.8846376,1574361715.473922,2.586517572402954,0.0027658939361572266,2.5892834663391113
