client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
7,0,1574296614.4723551,1574296616.2482169,1.7728064060211182,0.0030548572540283203,1.7758612632751465
1,0,1574296614.5775118,1574296616.3831747,1.803144931793213,0.002517223358154297,1.8056621551513672
5,0,1574296615.5012772,1574296617.3105505,1.8064875602722168,0.0027849674224853516,1.8092725276947021
8,0,1574296615.9358156,1574296617.8022692,1.8634917736053467,0.0029609203338623047,1.866452693939209
7,1,1574296616.5307138,1574296618.3835561,1.8502638339996338,0.0025780200958251953,1.852841854095459
9,0,1574296616.825372,1574296618.674504,1.8451671600341797,0.00396418571472168,1.8491313457489014
0,0,1574296616.8104687,1574296618.6825187,1.8693008422851562,0.002748250961303711,1.87204909324646
4,0,1574296617.3319442,1574296619.1725526,1.8377010822296143,0.00290679931640625,1.8406078815460205
8,1,1574296617.8685763,1574296619.719993,1.8482685089111328,0.003147602081298828,1.8514161109924316
6,0,1574296618.49733,1574296620.3148324,1.8144950866699219,0.0030069351196289062,1.8175020217895508
1,1,1574296618.962306,1574296620.8051648,1.8398561477661133,0.0030019283294677734,1.842858076095581
7,2,1574296619.1634119,1574296620.9870322,1.8205068111419678,0.0031130313873291016,1.8236198425292969
0,1,1574296619.9249623,1574296621.7240162,1.7960126399993896,0.003040790557861328,1.799053430557251
1,2,1574296620.842428,1574296622.7115846,1.8663287162780762,0.0028274059295654297,1.8691561222076416
7,3,1574296620.9961011,1574296622.841974,1.843230962753296,0.002641439437866211,1.845872402191162
0,2,1574296621.4917798,1574296623.350194,1.8553922176361084,0.0030210018157958984,1.8584132194519043
6,1,1574296621.4729464,1574296623.3630369,1.886706829071045,0.0033829212188720703,1.890089750289917
0,3,1574296621.525361,1574296623.402006,1.8739736080169678,0.0026705265045166016,1.8766441345214844
3,0,1574296622.301412,1574296624.202892,1.8983826637268066,0.0030965805053710938,1.9014792442321777
8,2,1574296622.4113917,1574296624.3022976,1.888465166091919,0.0024399757385253906,1.8909051418304443
6,2,1574296623.1960664,1574296625.0762515,1.8776216506958008,0.002562999725341797,1.8801846504211426
4,1,1574296623.391099,1574296625.2575407,1.8637330532073975,0.002707958221435547,1.866441011428833
7,4,1574296623.4095137,1574296625.273122,1.8611047267913818,0.002502918243408203,1.86360764503479
6,3,1574296623.9606712,1574296625.8777778,1.914350986480713,0.0027551651000976562,1.9171061515808105
9,1,1574296624.124451,1574296626.0458324,1.918172836303711,0.003208160400390625,1.9213809967041016
5,1,1574296624.5613005,1574296626.4471943,1.8827812671661377,0.0031120777130126953,1.8858933448791504
6,4,1574296625.3714712,1574296627.2333024,1.8591163158416748,0.002714395523071289,1.861830711364746
