client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
1,0,1574389081.5441554,1574389085.0413463,3.49372935295105,0.003461122512817383,3.497190475463867
4,0,1574389081.4762933,1574389085.3886902,3.909426212310791,0.0029702186584472656,3.9123964309692383
5,1,1574389081.4694037,1574389085.5440173,4.071106433868408,0.0035066604614257812,4.074613094329834
0,0,1574389081.3277247,1574389085.043435,3.713059663772583,0.0026502609252929688,3.715709924697876
13,0,1574389081.786674,1574389085.397366,3.607570171356201,0.003120899200439453,3.6106910705566406
2,0,1574389081.6287413,1574389085.084137,3.4528555870056152,0.002539396286010742,3.455394983291626
17,0,1574389081.8812284,1574389086.252419,4.368646621704102,0.002543210983276367,4.371189832687378
10,0,1574389082.111675,1574389085.8232913,3.6893017292022705,0.022313356399536133,3.7116150856018066
0,2,1574389081.808818,1574389086.2321336,4.420555353164673,0.0027594566345214844,4.423314809799194
4,1,1574389081.7759893,1574389086.0146627,4.234715700149536,0.003956794738769531,4.238672494888306
0,1,1574389081.5733767,1574389086.0347958,4.458194732666016,0.0032236576080322266,4.461418390274048
5,2,1574389081.7470584,1574389086.3522947,4.602410554885864,0.0028252601623535156,4.605235815048218
5,3,1574389081.7745378,1574389086.2222676,4.442375659942627,0.005353212356567383,4.447728872299194
13,2,1574389083.8190463,1574389088.3056269,4.065819025039673,0.4207603931427002,4.486579418182373
5,0,1574389081.4493656,1574389085.6510077,4.1988348960876465,0.0028066635131835938,4.20164155960083
1,1,1574389082.2940776,1574389087.010641,4.649729251861572,0.0668332576751709,4.716562509536743
8,0,1574389081.7770422,1574389086.5592675,4.7759974002838135,0.006227254867553711,4.782224655151367
10,1,1574389083.6955972,1574389088.4345431,4.548314571380615,0.19063019752502441,4.73894476890564
15,0,1574389082.6500928,1574389087.8194165,4.99174952507019,0.17757296562194824,5.169322490692139
2,1,1574389082.6990461,1574389087.4404466,4.593738079071045,0.14766168594360352,4.741399765014648
4,2,1574389082.0464723,1574389086.9104862,4.8607566356658936,0.003256559371948242,4.864013195037842
7,0,1574389083.3020356,1574389088.3188298,4.917112827301025,0.09968018531799316,5.0167930126190186
1,2,1574389083.7460303,1574389088.5179868,4.27624773979187,0.49570775032043457,4.771955490112305
5,4,1574389084.973779,1574389089.5362258,3.7173969745635986,0.8450486660003662,4.562445640563965
16,0,1574389083.886079,1574389088.6327813,3.8735570907592773,0.8731436729431152,4.746700763702393
18,0,1574389084.250177,1574389089.012803,4.222567081451416,0.5400576591491699,4.762624740600586
10,2,1574389086.0997267,1574389091.3213754,3.8566858768463135,1.3649616241455078,5.221647500991821
13,1,1574389082.9880955,1574389087.8841536,4.766381740570068,0.12967538833618164,4.89605712890625
13,3,1574389084.7446513,1574389089.780441,3.9595634937286377,1.0762252807617188,5.0357887744903564
2,2,1574389085.9578664,1574389090.823753,3.492759943008423,1.3731260299682617,4.865885972976685
3,0,1574389084.5941465,1574389089.1554313,3.7755038738250732,0.7857794761657715,4.561283349990845
4,3,1574389084.3581321,1574389089.3349974,3.949983596801758,1.0268802642822266,4.976863861083984
15,1,1574389085.1016061,1574389089.979074,3.877293586730957,1.0001733303070068,4.877466917037964
19,0,1574389085.8187792,1574389090.91937,3.8222522735595703,1.2783372402191162,5.1005895137786865
17,1,1574389086.1839132,1574389091.7063859,4.091893196105957,1.4305787086486816,5.522471904754639
18,1,1574389086.3462524,1574389092.1323447,3.6531591415405273,2.13293194770813,5.786091089248657
19,2,1574389086.744118,1574389092.2727563,3.5870611667633057,1.9415760040283203,5.528637170791626
19,1,1574389086.3135626,1574389092.3381338,4.208441972732544,1.8161280155181885,6.024569988250732
12,0,1574389085.477229,1574389090.5935833,3.780611991882324,1.3357410430908203,5.1163530349731445
6,0,1574389085.035973,1574389090.0612895,3.959805727005005,1.0655097961425781,5.025315523147583
17,2,1574389086.777866,1574389092.7419744,3.8098912239074707,2.1542165279388428,5.9641077518463135
13,4,1574389086.8913393,1574389092.9050696,3.480268716812134,2.5334603786468506,6.013729095458984
5,5,1574389086.4347754,1574389092.4342651,3.888315200805664,2.111173391342163,5.999488592147827
4,4,1574389086.5947754,1574389092.0891392,3.504589080810547,1.9897735118865967,5.4943625926971436
11,0,1574389086.9891841,1574389093.043658,3.5154736042022705,2.538999080657959,6.0544726848602295
7,1,1574389087.5247831,1574389093.7298076,3.7473490238189697,2.457674503326416,6.205023527145386
3,1,1574389087.1592262,1574389093.4065368,3.6090140342712402,2.6382951736450195,6.24730920791626
19,3,1574389087.913838,1574389094.4263067,3.642002582550049,2.8704652786254883,6.512467861175537
10,3,1574389088.3765888,1574389095.6757367,3.535141706466675,3.764005184173584,7.299146890640259
6,1,1574389088.472427,1574389095.9185803,3.651779890060425,3.794372797012329,7.446152687072754
18,2,1574389087.800906,1574389094.2219274,3.85829496383667,2.562725782394409,6.421020746231079
2,3,1574389087.9848459,1574389094.85296,3.931626558303833,2.9364867210388184,6.868113279342651
2,5,1574389088.9313858,1574389096.0563,3.6116600036621094,3.5132532119750977,7.124913215637207
1,3,1574389087.263699,1574389093.9272404,4.011576175689697,2.651963949203491,6.6635401248931885
2,4,1574389088.3068035,1574389094.96809,3.794879674911499,2.866405963897705,6.661285638809204
8,1,1574389089.4040914,1574389097.2107058,3.8033435344696045,4.003269910812378,7.806613445281982
0,3,1574389087.6000056,1574389094.0483332,3.919966459274292,2.528359889984131,6.448326349258423
7,2,1574389088.2345765,1574389094.8769019,3.9500815868377686,2.6922430992126465,6.642324686050415
11,1,1574389089.2199123,1574389096.7119718,3.7771618366241455,3.7148966789245605,7.492058515548706
13,5,1574389088.9713957,1574389096.6417136,3.7899508476257324,3.880366086959839,7.670316934585571
1,4,1574389089.2852497,1574389097.0136023,3.959172010421753,3.769179105758667,7.72835111618042
7,3,1574389089.4101827,1574389097.2487867,3.8042385578155518,4.034364461898804,7.8386030197143555
16,1,1574389089.5740113,1574389097.660085,3.715365171432495,4.370707750320435,8.08607292175293
17,3,1574389088.5276601,1574389096.1091626,3.7139475345611572,3.867553949356079,7.581501483917236
2,6,1574389090.1135027,1574389098.641297,3.937239170074463,4.590554237365723,8.527793407440186
12,1,1574389089.7290998,1574389098.359431,4.0554234981536865,4.574906587600708,8.630330085754395
9,0,1574389089.397866,1574389096.7925014,3.7449963092803955,3.6496381759643555,7.394634485244751
9,1,1574389090.9202535,1574389101.1415198,4.105945348739624,6.115320205688477,10.2212655544281
17,4,1574389089.621073,1574389097.8859944,3.7368602752685547,4.528058767318726,8.26491904258728
0,4,1574389090.8820155,1574389100.3125086,3.6450693607330322,5.7854225635528564,9.430491924285889
14,0,1574389090.8483887,1574389100.2909732,3.8945510387420654,5.548032522201538,9.442583560943604
19,6,1574389090.6380224,1574389100.2125545,3.9951720237731934,5.57935905456543,9.574531078338623
18,3,1574389090.3875885,1574389099.6709867,4.271698474884033,5.011698484420776,9.28339695930481
19,4,1574389089.7207992,1574389097.9151204,3.6970176696777344,4.497302293777466,8.1943199634552
19,5,1574389090.1820147,1574389098.4613194,3.747389793395996,4.531914234161377,8.279304027557373
4,5,1574389091.2115462,1574389100.8254602,3.567902088165283,6.046010732650757,9.61391282081604
12,2,1574389091.346622,1574389101.9688416,4.285152196884155,6.337066173553467,10.622218370437622
15,2,1574389091.7511883,1574389101.9857082,4.008673191070557,6.225845813751221,10.234519004821777
4,6,1574389091.8056371,1574389102.4199286,4.430817604064941,6.183472394943237,10.614289999008179
12,3,1574389092.0957603,1574389102.0801694,4.08140754699707,5.903000831604004,9.984408378601074
17,5,1574389090.3131015,1574389099.3943644,4.463481903076172,4.617779970169067,9.08126187324524
17,6,1574389091.5895314,1574389102.3938107,4.416545152664185,6.387733221054077,10.804278373718262
16,2,1574389090.6103091,1574389099.701267,3.550053596496582,5.540903091430664,9.090956687927246
16,3,1574389091.7016363,1574389102.071886,4.104464769363403,6.2657835483551025,10.370248317718506
13,6,1574389091.2705874,1574389101.3988247,4.095321416854858,6.032914400100708,10.128235816955566
14,1,1574389092.2067566,1574389102.8248296,4.095104455947876,6.52296781539917,10.618072271347046
9,2,1574389092.4631507,1574389103.930635,3.887547016143799,7.579936265945435,11.467483282089233
17,7,1574389092.1698532,1574389103.1274705,4.398040771484375,6.55957555770874,10.957616329193115
5,7,1574389092.4172435,1574389103.2686846,3.7671029567718506,7.084336996078491,10.851439952850342
