jobs_per_sec,eight,sixteen,twentyfour,thirtytwo,sixtyfour
1.43,1.941,1.842,0,1.849,1.843
1.67,1.999,1.867,0,1.877,1.863
2,1.901,1.913,0,1.865,1.9191
2.5,1.998,1.991,0,2.1492,2.0031
2.85,2.605,2.107,0,2.1103,2.186
3.3,3.576,2.323,2.445,2.3535,2.336
4,67.902,3.095,0,3.064,3.615
5,91.97,16.65,4.37,4.212,5.308
6.67,281.297,165.514,0,136.073,225.245
10,378.275,264.306,0,219.251,312.148
