jobs_per_sec,eight,sixteen,twentyfour,thirtytwo,sixtyfour
1.43,1.936,1.839,,1.846,1.84
1.67,1.985,1.864,,1.874,1.86
2,1.88,1.91,,1.862,1.916
2.5,1.92,1.987,,2.146,2
2.85,2.18,2.101,,2.107,2.18
3.3,2.258,2.31,2.445,2.347,2.33
4,2.272,2.827,,2.997,3.522
5,2.27,3.57,4.37,4,3.938
6.67,2.297,3.714,,4.023,4.245
10,2.275,3.716,,4.021,4.148
