id,client_id,job_id,arrival_time,end_time,job_time,queue_time,total_time
1,4,0,1574186705.79647,1574186707.77377,1.92412543296814,0.0531687736511231,1.97729420661926
2,0,0,1574186705.84678,1574186707.80826,1.95234847068787,0.00912737846374512,1.96147584915161
3,8,0,1574186706.17835,1574186708.1191,1.93713283538818,0.0036170482635498,1.94074988365173
4,8,0,1574186706.17835,1574186708.1191,1.93713283538818,0.0036170482635498,1.94074988365173
5,3,0,1574186707.09946,1574186709.15881,2.05516743659973,0.00417804718017578,2.05934548377991
6,2,0,1574186707.58439,1574186709.76061,2.1720724105835,0.00415396690368652,2.17622637748718
7,3,1,1574186708.1884,1574186710.22262,2.03129696846008,0.00291728973388672,2.03421425819397
8,6,1,1574186708.00984,1574186710.24621,2.23207688331604,0.00428891181945801,2.2363657951355
9,2,2,1574186708.26113,1574186710.56471,2.3007025718689,0.00287199020385742,2.30357456207275
10,2,1,1574186708.13294,1574186710.65435,2.51774668693542,0.0036628246307373,2.52140951156616
11,0,1,1574186708.87272,1574186711.12317,2.24756240844727,0.00288939476013184,2.2504518032074
12,2,3,1574186709.26334,1574186711.6029,2.33665752410889,0.00289821624755859,2.33955574035645
13,3,2,1574186709.02949,1574186711.71187,2.67926287651062,0.00312232971191406,2.68238520622253
14,3,3,1574186709.81336,1574186712.3185,2.50226807594299,0.00287365913391113,2.5051417350769
15,1,0,1574186709.89631,1574186712.46265,2.56236028671265,0.00397229194641113,2.56633257865906
16,4,1,1574186709.94569,1574186712.53947,2.58982157707214,0.00395464897155762,2.5937762260437
17,6,2,1574186709.82738,1574186712.61896,2.78798675537109,0.00358700752258301,2.79157376289368
18,7,0,1574186710.61245,1574186713.10288,2.4859356880188,0.0045008659362793,2.49043655395508
19,5,0,1574186710.64309,1574186713.14502,2.499018907547,0.00291252136230469,2.5019314289093
20,2,4,1574186710.61185,1574186713.32552,2.70692300796509,0.00675106048583984,2.71367406845093
21,7,1,1574186711.31481,1574186713.91651,2.59794092178345,0.0037541389465332,2.60169506072998
22,5,1,1574186711.38741,1574186713.92582,2.53567123413086,0.00273776054382324,2.53840899467468
23,0,2,1574186711.15031,1574186713.96428,2.81039810180664,0.00357246398925781,2.8139705657959
24,2,5,1574186712.04449,1574186714.28386,2.23672771453857,0.00263500213623047,2.2393627166748
25,2,6,1574186712.08258,1574186714.45942,2.37395024299622,0.00289249420166016,2.37684273719788
26,2,7,1574186712.21417,1574186714.53865,2.32069134712219,0.00379037857055664,2.32448172569275
27,2,8,1574186712.38532,1574186714.72358,2.33539772033691,0.00285673141479492,2.33825445175171
28,5,2,1574186713.13219,1574186715.64052,2.50563335418701,0.00269842147827148,2.50833177566528
29,9,0,1574186713.54226,1574186715.93911,2.39406752586365,0.0027763843536377,2.39684391021729
30,7,2,1574186713.73429,1574186715.97503,2.23706817626953,0.00366592407226562,2.2407341003418
31,7,3,1574186714.05335,1574186716.2372,2.18117642402649,0.00267314910888672,2.18384957313538
32,2,9,1574186714.09358,1574186716.28812,2.19154238700867,0.00299668312072754,2.19453907012939
33,3,4,1574186714.18095,1574186716.42072,2.23691725730896,0.0028538703918457,2.23977112770081
34,4,2,1574186714.36469,1574186716.70251,2.33489656448364,0.0029299259185791,2.33782649040222
35,8,1,1574186714.79245,1574186717.04765,2.25241184234619,0.00278449058532715,2.25519633293152
36,5,3,1574186714.82254,1574186717.24019,2.41488718986511,0.0027611255645752,2.41764831542969
37,0,3,1574186714.93074,1574186717.32921,2.39558482170105,0.00289058685302734,2.39847540855408
38,0,4,1574186715.43126,1574186717.5926,2.15825223922729,0.00308752059936523,2.16133975982666
39,4,3,1574186716.0265,1574186718.16422,2.13489699363708,0.00281405448913574,2.13771104812622
